program_product_cd,country_nm,mnth,users
MPL,Brunei,2022-09-01,21
SMB,Morocco,2022-08-01,16
MPL,Guadeloupe,2022-06-01,2
SMB,Montenegro,2022-07-01,596
MPL,Moldova,2022-07-01,7217
MPL,Aruba,2022-07-01,4
MPL,Cyprus,2022-09-01,12487
SMB,Antigua and Barbuda,2022-06-01,6
MPL,Seychelles,2022-06-01,595
SMB,Cambodia,2022-06-01,7
MPL,East Timor,2022-07-01,1
MPL,Lebanon,2022-09-01,280
SMB,Moldova,2022-06-01,349
