program_product_cd,country_nm,mnth,users
SMB,French Polynesia,2022-08-01,1
MPL,Uganda,2022-09-01,2179
MPL,null,2022-09-01,2
SMB,Peru,2022-08-01,15
SMB,Turkmenistan,2022-09-01,4
SMB,Bhutan,2022-07-01,1
MPL,Bolivia,2022-08-01,98
MPL,Spain,2022-06-01,32136
MPL,Papua New Guinea,2022-09-01,5
SMB,Ukraine,2022-09-01,5314
MPL,Malawi,2022-09-01,2
MPL,Armenia,2022-07-01,33117
SMB,Liechtenstein,2022-07-01,3
MPL,Libya,2022-09-01,53
SMB,Armenia,2022-06-01,2173
MPL,Central African Republic,2022-09-01,60
MPL,Monaco,2022-09-01,189
MPL,Tanzania,2022-09-01,307
MPL,Bhutan,2022-06-01,7
MPL,Botswana,2022-07-01,28
SMB,Palestine,2022-09-01,1
MPL,Liberia,2022-09-01,2
SMB,Spain,2022-07-01,2275
MPL,Sierra Leone,2022-08-01,6
MPL,Argentina,2022-09-01,1959
MPL,Martinique,2022-08-01,7
SMB,Oman,2022-08-01,6
SMB,Mongolia,2022-09-01,174
MPL,Myanmar (Burma),2022-09-01,49
MPL,Belgium,2022-09-01,56502
MPL,Ethiopia,2022-09-01,188
SMB,Bangladesh,2022-09-01,9
MPL,Turkey,2022-09-01,208805
SMB,Netherlands,2022-06-01,34971
MPL,Burundi,2022-09-01,9
SMB,El Salvador,2022-08-01,1
MPL,Bahrain,2022-09-01,507
SMB,United States,2022-06-01,24684
SMB,Bahamas,2022-09-01,2
MPL,Italy,2022-09-01,46437
MPL,Laos,2022-06-01,46
SMB,Nepal,2022-09-01,13
MPL,Hungary,2022-08-01,11870
MPL,Finland,2022-08-01,203696
MPL,Luxembourg,2022-06-01,15082
SMB,Laos,2022-07-01,4
SMB,Macedonia,2022-07-01,76
MPL,China,2022-08-01,2017
SMB,Slovakia,2022-09-01,269
SMB,Israel,2022-07-01,941
SMB,Kyrgyzstan,2022-06-01,948
MPL,Israel,2022-06-01,14981
MPL,Brazil,2022-08-01,2812
MPL,Saint Kitts and Nevis,2022-07-01,6
MPL,Ghana,2022-09-01,114
MPL,Zimbabwe,2022-08-01,32
MPL,Hong Kong,2022-06-01,3251
MPL,Sint Maarten,2022-07-01,3
SMB,United Kingdom,2022-06-01,16347
SMB,Gabon,2022-09-01,3
SMB,Norway,2022-06-01,1166
MPL,Bangladesh,2022-08-01,1017
MPL,San Marino,2022-07-01,10
MPL,Togo,2022-08-01,41
SMB,Gibraltar,2022-07-01,3
SMB,Greenland,2022-06-01,1
MPL,Iraq,2022-09-01,816
SMB,Algeria,2022-08-01,15
MPL,Norway,2022-07-01,20304
MPL,El Salvador,2022-09-01,16
MPL,Uzbekistan,2022-06-01,16597
MPL,Afghanistan,2022-06-01,47
MPL,Guinea-Bissau,2022-09-01,7
MPL,Somalia,2022-06-01,6
MPL,S?o Tom? and Pr?ncipe,2022-07-01,0
MPL,Chile,2022-08-01,730
SMB,Argentina,2022-08-01,101
MPL,Vietnam,2022-09-01,3257
MPL,Iran,2022-09-01,1
SMB,Malaysia,2022-07-01,129
SMB,Myanmar (Burma),2022-08-01,0
MPL,Mexico,2022-09-01,3073
MPL,Malta,2022-08-01,532
MPL,Lesotho,2022-06-01,2
MPL,Chad,2022-06-01,7
MPL,Guyana,2022-09-01,16
MPL,Trinidad and Tobago,2022-06-01,16
MPL,Taiwan,2022-08-01,598
SMB,Cambodia,2022-09-01,10
MPL,Kenya,2022-07-01,128
MPL,Saudi Arabia,2022-06-01,18053
MPL,Croatia,2022-09-01,2419
SMB,Sierra Leone,2022-09-01,1
SMB,Mauritius,2022-07-01,23
MPL,Palestine,2022-08-01,121
SMB,Austria,2022-09-01,999
SMB,Kenya,2022-06-01,11
MPL,Singapore,2022-07-01,57440
SMB,Hungary,2022-07-01,449
SMB,China,2022-07-01,78
SMB,Finland,2022-07-01,12093
MPL,Laos,2022-08-01,66
MPL,Zimbabwe,2022-07-01,20
MPL,Hungary,2022-06-01,5942
MPL,Kyrgyzstan,2022-09-01,24056
SMB,Barbados,2022-09-01,1
MPL,China,2022-06-01,1094
SMB,Hong Kong,2022-09-01,489
MPL,Finland,2022-06-01,175692
MPL,Luxembourg,2022-08-01,20727
MPL,Belize,2022-09-01,46
MPL,United Kingdom,2022-09-01,467879
MPL,Albania,2022-09-01,862
SMB,Netherlands,2022-08-01,26301
MPL,Guam,2022-07-01,15
MPL,U.S. Virgin Islands,2022-09-01,1
MPL,Greenland,2022-09-01,33
SMB,United States,2022-08-01,18474
SMB,Uzbekistan,2022-09-01,1025
MPL,French Polynesia,2022-09-01,3
SMB,Namibia,2022-09-01,2
SMB,Oman,2022-06-01,3
SMB,Tunisia,2022-09-01,34
MPL,Slovenia,2022-09-01,1542
SMB,Afghanistan,2022-09-01,6
SMB,Malaysia,2022-08-01,108
MPL,Martinique,2022-06-01,9
SMB,Guinea-Bissau,2022-06-01,1
SMB,Tajikistan,2022-07-01,397
MPL,Oman,2022-07-01,142
SMB,Bulgaria,2022-06-01,1851
MPL,Jamaica,2022-09-01,39
MPL,Spain,2022-08-01,45247
MPL,Bolivia,2022-06-01,58
SMB,Saudi Arabia,2022-09-01,650
SMB,Senegal,2022-09-01,1
MPL,Bhutan,2022-08-01,7
SMB,Bolivia,2022-07-01,4
MPL,Caribbean Netherlands,2022-07-01,2
SMB,India,2022-09-01,419
SMB,Armenia,2022-08-01,1675
SMB,Pakistan,2022-09-01,6
MPL,Sierra Leone,2022-06-01,9
MPL,Saudi Arabia,2022-08-01,9696
MPL,Botswana,2022-08-01,43
MPL,Trinidad and Tobago,2022-08-01,13
MPL,Taiwan,2022-06-01,447
MPL,Mozambique,2022-09-01,30
MPL,Chad,2022-08-01,11
MPL,Ivory Coast,2022-07-01,69
SMB,Kenya,2022-08-01,28
MPL,Palestine,2022-06-01,46
SMB,Taiwan,2022-07-01,16
MPL,Benin,2022-09-01,36
MPL,Belarus,2022-09-01,69812
SMB,Denmark,2022-09-01,652
SMB,Argentina,2022-06-01,143
MPL,Afghanistan,2022-08-01,73
SMB,Ecuador,2022-09-01,8
MPL,Chile,2022-06-01,372
MPL,Somalia,2022-08-01,24
SMB,Malta,2022-07-01,33
SMB,Colombia,2022-06-01,26
MPL,French Guiana,2022-07-01,12
SMB,Chile,2022-07-01,19
SMB,Myanmar (Burma),2022-06-01,1
MPL,South Korea,2022-07-01,7911
MPL,Malta,2022-06-01,445
MPL,Serbia,2022-09-01,13565
MPL,Venezuela,2022-07-01,231
MPL,Netherlands,2022-09-01,639479
SMB,Norway,2022-08-01,782
MPL,Algeria,2022-07-01,502
SMB,United Kingdom,2022-08-01,19502
MPL,Togo,2022-06-01,26
SMB,Greenland,2022-08-01,2
MPL,Bangladesh,2022-06-01,837
MPL,United States,2022-09-01,407363
SMB,Fiji,2022-09-01,2
SMB,Togo,2022-07-01,2
MPL,Uzbekistan,2022-08-01,24741
SMB,Algeria,2022-06-01,27
SMB,Kuwait,2022-09-01,2
MPL,Costa Rica,2022-07-01,248
SMB,Brazil,2022-07-01,160
MPL,Comoros,2022-07-01,4
SMB,Czech Republic,2022-07-01,1131
SMB,Kyrgyzstan,2022-08-01,1001
MPL,Guatemala,2022-07-01,61
MPL,Hong Kong,2022-08-01,9894
MPL,Panama,2022-09-01,218
MPL,Brazil,2022-06-01,2534
MPL,Israel,2022-08-01,18735
MPL,Maldives,2022-06-01,2300
SMB,Luxembourg,2022-09-01,809
SMB,Poland,2022-07-01,9117
SMB,France,2022-09-01,14943
SMB,Lithuania,2022-07-01,1002
MPL,Kazakhstan,2022-06-01,38514
MPL,?land Islands,2022-08-01,36
SMB,Germany,2022-06-01,34205
MPL,Madagascar,2022-09-01,28
MPL,Germany,2022-07-01,813375
MPL,Slovakia,2022-07-01,15827
MPL,Isle of Man,2022-09-01,104
MPL,Barbados,2022-08-01,6
MPL,Kosovo,2022-07-01,5
SMB,Thailand,2022-06-01,923
MPL,Poland,2022-06-01,143919
MPL,Georgia,2022-08-01,58365
