Event,Event Description,Event Number of Properties,Event Property,Property Description
AccChoose_ServiceType_Choosed,,1,serviceType,
AccChoose_Shown,,0,,
AccChoose_ToBack,,0,,
Accept_Paymentrequest_mb,,2,act,
,,,date,
Access_Denied_Shown,,0,,
Accessibility,,2,size,
,,,status,
Accessibility_On,,1,enabled_features,
accessToAccounts.closeButton.clicked,,0,,
accessToAccounts.commitButton.clicked,,0,,
accessToAccounts.displayed,,0,,
accessToAccounts.employeesList.allItem.clicked,,0,,
accessToAccounts.employeesList.employeeItem.clicked,,0,,
accessToAccounts.resetButton.clicked,,0,,
accessToAccounts.search.canceled,,0,,
accessToAccounts.search.started,,0,,
accessToAccounts.search.valueChanged,,0,,
account.dashboard.actions.replenishButton.clicked,,2,flowType,
,,,project,
account.details.tariff.clicked,,0,,
account.rko.dashboard.actions.createInvoiceClick,,0,,
account.rko.dashboard.actions.createPaymentClick,,0,,
account.rko.dashboard.actions.refillClick,,0,,
account.rko.dashboard.cards.addCardButtonClick,,0,,
account.rko.dashboard.cards.allCardButtonClick,,0,,
account.rko.dashboard.cards.oneCardButtonClick,,0,,
account.rko.dashboard.headerScrolled,,0,,
account.rko.dashboard.loaded,,4,accountType,
,,,currency,
,,,mainAccount,
,,,tariff,
account.rko.dashboard.overdraft.info.displayed,,2,project,
,,,state,
account.rko.dashboard.rename.cancelClick,,0,,
account.rko.dashboard.rename.doneButtonClick,,4,new_name,
,,,newName,
,,,old_name,
,,,oldName,
account.rko.dashboard.rename.end,,0,,
account.rko.dashboard.rename.open,,0,,
account.rko.dashboard.renameButtonClick,,0,,
account.rko.dashboard.widgets.arrearage.arrearageClick,,0,,
account.rko.dashboard.widgets.blocking.blockingClick,,0,,
account.rko.dashboard.widgets.details.accessToAccountClick,,1,project,
account.rko.dashboard.widgets.details.analyticsClick,,0,,
account.rko.dashboard.widgets.details.createReferenceClick,,0,,
account.rko.dashboard.widgets.details.integrationClick,,0,,
account.rko.dashboard.widgets.details.integrationsClick,,0,,
account.rko.dashboard.widgets.details.tariffClick,,0,,
account.rko.dashboard.widgets.excerpts.createExcerptClick,,0,,
account.rko.dashboard.widgets.onboarding.close,,1,project,
account.rko.dashboard.widgets.onboarding.onboardingClick,,0,,
account.rko.dashboard.widgets.operations.contentChanged,,1,state,
account.rko.dashboard.widgets.operations.item.clicked,,1,project,
account.rko.dashboard.widgets.operations.openAll.clicked,,0,,
account.rko.dashboard.widgets.operations.retryButton.clicked,,2,project,
,,,retry,
account.rko.dashboard.widgets.overdraft.clicked,,1,project,
account.rko.dashboard.widgets.overdraft.displayed,,2,dayInOver,
,,,project,
account.rko.dashboard.widgets.requisites.requisitesAllClick,,0,,
account.rko.dashboard.widgets.requisites.requisitesSendClick,,0,,
account.rko.operation.feed.contentChanged,,1,state,
Account_Details_Shown,,0,,
Accounts_Replenish_Cash_Shown,,0,,
Accounts_Replenish_FL_Sent,,0,,
Accounts_Replenish_FL_Shown,,0,,
Accounts_Replenish_List,,6,byCash,
,,,byRequisites,
,,,bySmeAccount,
,,,byTinkoffApp,
,,,byTinkoffCard,
,,,cnt,
accountScreen.offer.action,,1,offerLocation,
accountScreen.offer.closed,,1,offerLocation,
accountScreen.offer.displayed,,1,offerLocation,
acquiring.origination.emailStep.screen.shown,,2,from,
,,,project,
acquiring.origination.emailStep.submitButton.tapped,,2,from,
,,,project,
acquiring.origination.instructionStep.screen.shown,,2,from,
,,,project,
acquiring.origination.instructionStep.submitButton.tapped,,1,project,
acquiring.origination.landing.screen.shown,,2,from,
,,,project,
acquiring.origination.status.chatButton.tapped,,2,from,
,,,project,
acquiring.origination.status.companyFillingScreen.emailDidNotArriveButton.tapped,,1,project,
acquiring.origination.status.screen.shown,,2,project,
,,,screen,
acquiring.origination.status.terminalActivatedScreen.howToConnectCashierButton.tapped,,1,project,
acquiring.origination.success.screen.shown,,2,from,
,,,project,
acquiring.origination.terminalsList.screen.shown,,1,project,
actionListLoad.actionsSequenceList,,1,actionsSequenceList,
actions_clickWidget,,1,widgetName,
actions_openClickLabel,,0,,
actions_openOnMain,,0,,
actions_openSwipe,,0,,
actions_openSwipeLabel,,0,,
actions_sequence,,1,actionsSequenceList,
activated.fromBbd,,0,,
activated.fromServices,,0,,
activation.accountSelectionPage.displayed,,4,applicationId,
,,,preApproved,
,,,productId,
,,,project,
activation.activationPage.activateApplication.error,,4,applicationId,
,,,preApproved,
,,,productId,
,,,project,
activation.activationPage.activateApplication.success,,4,applicationId,
,,,preApproved,
,,,productId,
,,,project,
activation.activationPage.displayed,,4,applicationId,
,,,preApproved,
,,,productId,
,,,project,
activation.activationPage.rejection.error,,4,applicationId,
,,,preApproved,
,,,productId,
,,,project,
activation.activationPage.rejection.success,,4,applicationId,
,,,preApproved,
,,,productId,
,,,project,
Add_document_click,,2,addType,
,,,agrType,
Add_Favorite,,2,from,
,,,provider,
additionalRequest.documents.documentsSentScreen.shown,,1,applicationId,
Aggregate_Explanation_Click,,2,agrType,
,,,problemFlg,
AllAccountantEvents_AccountantEvent_Clicked,,2,accountantEventStatusTitle,
,,,accountantEventTitle,
AllAccountantEvents_Shown,,0,,
AllAccountantEvents_Year_Clicked,,0,,
AllTaxEvents_Shown,,0,,
AllTaxEvents_TaxEvents_Clicked,,4,descriptionMain,
,,,descriptionType,
,,,taxFeePeriod,
,,,wizardType,
AllTaxEvents_Year_Clicked,,1,year,
aml.mainDocumentsRequest.blockingInfo.reasonLink.pressed,,1,link,
aml.mainDocumentsRequest.blockingInfo.urgentPayment.left,,2,button,
,,,status,
aml.mainDocumentsRequest.documentsLoading.submitButton.pressed,,0,,
aml.mainDocumentsRequest.feedback.shown,,1,status,
aml.mainDocumentsRequest.left,,2,order,
,,,source,
aml.mainDocumentsRequest.startOffer.continueButton.pressed,,4,blockType,
,,,hasDate,
,,,profileStatus,
,,,status,
aml.mainDocumentsRequest.startOffer.shown,,4,blockType,
,,,hasDate,
,,,profileStatus,
,,,status,
aml.paymentDocuments.paymentScreen.submitButton.pressed,,0,,
aml.paymentDocuments.paymentScreen.toDocumentsButton.pressed,,1,status,
AML_about,,1,type,
aml_csat_not_interested,,1,status,
aml_csat_open,,1,status,
AML_express_payment,,2,button,
,,,status,
aml_popup_redirect,,4,blockType,
,,,hasDate,
,,,profileStatus,
,,,status,
AML_Popup_Remind,,2,order,
,,,source,
aml_popup_shown,,4,blockType,
,,,hasDate,
,,,profileStatus,
,,,status,
AML_send,,0,,
Analytics_Tab_Switch,,1,tab,
App_Launch_First,,0,,
Appearance_Theme_Choose,,1,theme,
Appearance_Toggle_Tap,,0,,
applicationScoring.continueButton.clicked,,1,applicationId,
applicationScoring.shown,,3,applicationId,
,,,isEio,
,,,opf,
applicationStatus.actionButton.clicked,,4,applicationId,
,,,isEio,
,,,opf,
,,,statusType,
Arrest_Click_Call_MB,,1,type,
Arrest_Click_Requisites_MB,,1,type,
Arrest_Click_URL_MB,,1,type,
Arrest_Show_Detail_MB,,0,,
Arrest_Show_List_MB,,0,,
arrests.accounting.clicked,,0,,
arrests.accounting.shown,,0,,
ASTariff_CalcTariff_Start,,0,,
ASTariff_Close,,0,,
ASTariff_EmployeesQuestion_Close,,0,,
ASTariff_EmployeesQuestion_Continue,,1,hasEmployee,
ASTariff_EmployeesQuestion_No,,0,,
ASTariff_EmployeesQuestion_Shown,,1,from,
ASTariff_EmployeesQuestion_ToBack,,0,,
ASTariff_EmployeesQuestion_Yes,,0,,
ASTariff_EnterEmployees_Close,,0,,
ASTariff_EnterEmployees_Continue,,1,employeeCount,
ASTariff_EnterEmployees_Shown,,1,from,
ASTariff_EnterEmployees_ToBack,,0,,
ASTariff_PriceScreen_Connect,,0,,
ASTariff_PriceScreen_Shown,,0,,
ASTariff_Shown,,3,from,
,,,privilegeClient,
,,,rkoTariff,
ASTariff_SuccessScreen_Continue,,0,,
ASTariff_SuccessScreen_Shown,,3,from,
,,,privilegeClient,
,,,rkoTariff,
ASTariff_TaxSys_Close,,0,,
ASTariff_TaxSys_Continue,,1,taxSystems,
ASTariff_TaxSys_SelectOne,,1,taxSystem,
ASTariff_TaxSys_Shown,,1,from,
ASTariff_TaxSys_UnselectOne,,1,taxSystem,
ASTariff_TaxSys_UnsupportedDialog_Notify_Clicked,,1,taxSystems,
ASTariff_TaxSys_UnsupportedDialog_Shown,,1,taxSystems,
ASTariff_UserAgreement_Clicked,,0,,
AUSNMain_BottomSheet_Operation_Click,,0,,
AUSNMain_BottomSheet_Pay_Click,,0,,
AUSNMain_BottomSheet_PaymentDetails_Click,,0,,
AUSNMain_CurrentPayment_Click,,2,title,
,,,type,
AUSNMain_FNSNotifications_Click,,0,,
AUSNMain_FuturePayment_Click,,1,title,
AUSNMain_PemissionOnboard_CloseButton_Click,,0,,
AUSNMain_PemissionOnboard_Shown,,0,,
AUSNMain_PemissionOnboard_ToPersonalAccount_Click,,0,,
AUSNMain_Shown,,0,,
AUSNMain_SNO_Click,,0,,
AUSNMain_ToPayment_Click,,1,action,
Auth_Priority_Account_Shown,,1,ssoid,
Auth_Transfer_Apps_Shown,,3,app_in,
,,,apps,
,,,ssoid,
Bank_Call_Internet,,0,,
Bank_Call_Number,,1,number,
banner_Clicked,,5,location,
,,,name,
,,,offer_type,
,,,offerId,
,,,template,
banner_Closed,,6,close_Type,
,,,location,
,,,name,
,,,offer_Id,
,,,offerId,
,,,template,
banner_Shown,,4,location,
,,,name,
,,,offerId,
,,,template,
BC_Account_Chosen,,1,Currency,
BC_AccountChoice_Shown,,2,Count,
,,,CurFlg,
BC_ActiveOldLoyalty_More,,0,,
BC_Card_Shown_Btns_Click,,1,Btn,
BC_CardDetails_Copy,,2,cardType,
,,,copied,
BC_CardDetails_Shown,,1,cardType,
BC_Issue_Conf_Done,,1,Count,
BC_Issue_Conf_Shown,,1,Count,
BC_Issue_Payment_Click,,5,CardType,
,,,isEnough,
,,,MonthPrice,
,,,PaymentSystem,
,,,Price,
BC_Issue_Payment_Shown,,5,CardType,
,,,isEnough,
,,,MonthPrice,
,,,PaymentSystem,
,,,Price,
BC_Issue_PaymentSystem_Chosen,,4,CardType,
,,,MonthPrice,
,,,PaymentSystem,
,,,Price,
BC_Issue_PaymentSystem_Shown,,1,PaymentSystems,
BC_More_Shown,,2,freePeriodsLeft,
,,,status,
BC_MoreOldLoyalty_Click,,0,,
BC_ReissueBlocked_Btn_Click,,1,VirtualFlg,
BC_ReissuePlastic_Popup_Shown,,1,Btn,
BC_ReissueVirtual_Error,,0,,
BC_ReissueVirtualBlocked_Popup_Shown,,1,Btn,
BC_ReissueVirtualNorm_Popup_Shown,,1,Btn,
BC_ReissueVirtualReady_Shown,,1,WalletFlg,
Biometrics_System_Dialog_Shown,,0,,
Birthday_Input_Shown,,0,,
BK_Banner_Click,,0,,
BK_Banner_Close,,0,,
BK_Banner_Screen_Clear_Click,,0,,
BK_Banner_Screen_Newcard_Click,,0,,
BK_Banner_Shown,,0,,
Bk_Card_Actions_Shown,При переходе в действия по карте,1,pinFlg,
Bk_Card_Shown,При переходе на экран карты,2,pinFlg,
,,,status,
C2CPayment.failureScreen.load.success,,0,,
C2CPayment.formScreen.close.success,,0,,
C2CPayment.formScreen.load.success,,0,,
C2CPayment.formScreen.send.error,,1,errorType,
C2CPayment.formScreen.send.success,,0,,
C2CPayment.formScreen.sendToSign.error,,0,,
C2CPayment.formScreen.sendToSign.success,,0,,
C2CPayment.formScreen.submitted,,0,,
C2CPayment.noAccountsScreen.load.success,,0,,
C2CPayment.noAccounts‎Screen.load.success,,0,,
C2CPayment.noCardsScreen.cardIssueButton.pressed,,0,,
C2CPayment.noCardsScreen.load.success,,0,,
Calendar_Add,,1,eventName,
Card_Input_Entered,,3,camera_enter,
,,,hand_enter,
,,,NFC_enter,
Card_Input_Failure,,1,failure_reason,
Card_Input_NFC_Shown,,1,settings,
Card_Input_No_Card_Button_Tap,,1,clickOption,
Card_Input_Not_Me,,1,clickOption,
cardsScreen.requisites.copy,,2,cardType,
,,,copied,
Cashbox_AccountScreen_Shown,,0,,
Cashbox_Auto_Refill_Shown,,2,impossible_turn_on,
,,,is_signer,
Cashbox_Auto_Replenish_Settings,,3,count_accounts,
,,,count_change,
,,,percent,
Cashbox_Auto_Replenish_Switch,,1,autoreplenish,
Cashbox_Open_Agreements,,0,,
Cashbox_Open_Percent,,0,,
Cashbox_Open_Sent,,2,accountsAll,
,,,percent,
Cashbox_Open_Shown,,0,,
Cashbox_Pay_Click,,0,,
Cashbox_Replenish_Click,,0,,
Cashbox_Setting_Accounts,,1,add,
Cashbox_Setting_Percent,,1,percent,
Cashbox_Transfer_Click,,0,,
Change_Questionnaire_answers,,1,agrType,
chat.closed,,28,botFiles,
,,,botText,
,,,connectionType,
,,,olegBotResponseFirstTime,
,,,olegBotResponseInterruptedTime,
,,,olegBotResponseTime25ThPercentile,
,,,olegBotResponseTime50ThPercentile,
,,,olegBotResponseTime75ThPercentile,
,,,olegBotResponseTime95ThPercentile,
,,,P2PFiles,
,,,P2PStickers,
,,,P2PText,
,,,personalSupportFiles,
,,,personalSupportText,
,,,supportBotResponseFirstTime,
,,,supportBotResponseInterruptedTime,
,,,supportBotResponseTime25ThPercentile,
,,,supportBotResponseTime50ThPercentile,
,,,supportBotResponseTime75ThPercentile,
,,,supportBotResponseTime95ThPercentile,
,,,supportFiles,
,,,supportNewDialog,
,,,supportText,
,,,threadAppealFiles,
,,,threadAppealText,
,,,threadDeliveryFiles,
,,,threadDeliveryText,
,,,time,
chat.hint.tap,,3,pos,
,,,text,
,,,type,
chat.hints.shown,,0,,
chat.opened,,4,from,
,,,login,
,,,type,
,,,unread,
chat.rated,,2,rate,
,,,text,
chat.shown,,0,,
Chat_Closed,,31,bot_files,
,,,bot_response_interrupted_time,
,,,bot_text,
,,,connection_type,
,,,oleg_bot_response_first_time,
,,,oleg_bot_response_interrupted_time,
,,,oleg_bot_response_time_25th_percentile,
,,,oleg_bot_response_time_50th_percentile,
,,,oleg_bot_response_time_75th_percentile,
,,,oleg_bot_response_time_95th_percentile,
,,,p2p_files,
,,,p2p_stickers,
,,,p2p_text,
,,,personal_support_files,
,,,personal_support_text,
,,,support_bot_response_first_time,
,,,support_bot_response_interrupted_time,
,,,support_bot_response_time_25th_percentile,
,,,support_bot_response_time_50th_percentile,
,,,support_bot_response_time_75th_percentile,
,,,support_bot_response_time_95th_percentile,
,,,support_files,
,,,support_new_dialog,
,,,support_text,
,,,thread_appeal_file,
,,,thread_appeal_files,
,,,thread_appeal_text,
,,,thread_delivery_file,
,,,thread_delivery_files,
,,,thread_delivery_text,
,,,time,
Chat_Conversation_Closed,,6,files,
,,,login,
,,,stickers,
,,,text,
,,,time,
,,,type,
Chat_Hint_Tap,,4,pos,
,,,text,
,,,type,
,,,url,
Chat_Hints_Shown,,1,id,
Chat_Message_Sent,,5,channel_name,
,,,conversation_id,
,,,login,
,,,message_type,
,,,type,
Chat_Opened,,9,channel_name,
,,,channelId,
,,,from,
,,,is_subscribed,
,,,login,
,,,mute,
,,,subtype,
,,,type,
,,,unread,
Chat_Rated,,2,rate,
,,,text,
ChatHelp_QuestionGroups_Shown,,1,titleType,
ChatHelp_QuestionPage_Shown,,1,titleType,
ChatHelp_QuestionPage_SuccessButton,,1,titleType,
chatSearch.result,,2,q,
,,,screen,
ChatSearch_Result,,3,q,
,,,screen,
,,,type,
Click_Hyperlink_InMessage,,5,deeplink,
,,,messageId,
,,,text,
,,,type,
,,,web_link,
Click_OnWidget,,10,deeplink,
,,,messageId,
,,,response,
,,,type,
,,,widget_id,
,,,widget_type,
,,,widgetId,
,,,widgetType,
,,,zone_cd,
,,,zoneCd,
ClosingDocs_Change_Btn_Click,,1,closingDocsType,
ClosingDocs_Create_Btn_Click,,2,closingDocsType,
,,,from,
ClosingDocs_Create_Goods_And_Services_Shown,,1,closingDocsType,
ClosingDocs_Create_Seller_Buyer_Data_Shown,,1,closingDocsType,
ClosingDocs_Created,,1,closingDocsType,
ClosingDocs_Delete,,0,,
ClosingDocs_Details_Shown,,2,closingDocsStatus,
,,,closingDocsType,
ClosingDocs_Good_And_Service_Added,,1,closingDocsType,
ClosingDocs_Good_And_Service_Edit_Error,,2,closingDocsType,
,,,notValidate,
ClosingDocs_Good_And_Service_Edit_Shown,,2,closingDocsType,
,,,editAim,
ClosingDocs_Goods_And_Services_Shown,,1,closingDocsType,
ClosingDocs_Info_Shown,,1,closingDocsType,
ClosingDocs_Shown,,1,closingDocsActiveTab,
Comment_Cancel,,2,object_id,
,,,object_type,
Comment_Connection_Update,,2,object_id,
,,,object_type,
Comment_Delete,,10,attachments,
,,,created_date,
,,,id,
,,,info_type,
,,,object_id,
,,,object_type,
,,,parentId,
,,,reply,
,,,request_id,
,,,type,
Comment_Forbidden_Rules,,6,attachments,
,,,created_date,
,,,object_id,
,,,object_type,
,,,request_id,
,,,type,
Comment_Repeat,,9,attachments,
,,,created_date,
,,,info_type,
,,,object_id,
,,,object_type,
,,,parentId,
,,,reply,
,,,request_id,
,,,type,
Comment_Screen_Shown,,2,object_id,
,,,object_type,
Comment_Scroll,,3,object_id,
,,,object_type,
,,,screen_num,
Comment_Sent,,8,attachments,
,,,created_date,
,,,object_id,
,,,object_type,
,,,parentId,
,,,reply,
,,,request_id,
,,,type,
Comment_Sent_Fail,,8,attachments,
,,,created_date,
,,,error_type,
,,,object_id,
,,,object_type,
,,,parentId,
,,,request_id,
,,,type,
Comment_warning,,9,attachments,
,,,created_date,
,,,object_id,
,,,object_type,
,,,reply,
,,,request_id,
,,,type,
,,,type_warning,
,,,warning_time,
companyChangeScreen.clicked,,1,option,
companyChangeScreen.shown,,1,source,
CompanyUser_ButtonDelete,,1,chooseDelete,
CompanyUser_PasswordSent,,2,chooseSent,
,,,roles,
CompanyUserAccess_OpenChat,,1,createChat,
CompanyUserAccess_Shown,,0,,
CompanyUsers_Add,,0,,
CompanyUsers_Delete,,1,chooseDelete,
CompanyUsers_Shown,,0,,
CompanyUserTicket_Shown,,0,,
conversionData,,16,[AppsFlyer] af_click_lookback,
,,,[AppsFlyer] af_cost_model,
,,,[AppsFlyer] af_message,
,,,[AppsFlyer] af_status,
,,,[AppsFlyer] campaign,
,,,[AppsFlyer] click_time,
,,,[AppsFlyer] clickid,
,,,[AppsFlyer] cost_cents_USD,
,,,[AppsFlyer] dsp_click_id,
,,,[AppsFlyer] http_referrer,
,,,[AppsFlyer] httpMethod,
,,,[AppsFlyer] install_time,
,,,[AppsFlyer] media_source,
,,,[AppsFlyer] orig_cost,
,,,[AppsFlyer] proprietaryId,
,,,[AppsFlyer] short_link,
Copying_Buffer_Closed,,1,type,
Copying_Buffer_Parsing,,1,fields,
Copying_Buffer_Shown,,0,,
Counterparty_Details_Account_Delete,,1,source,
Counterparty_Details_Account_Edit,,0,,
Counterparty_Details_Account_Mark_Main,,1,made_main,
Counterparty_Details_Account_Save,,0,,
Counterparty_Details_Add_Account_Click,,1,source,
Counterparty_Details_Add_Contact_Click,,1,source,
Counterparty_Details_AllAccounts_Account_Click,,0,,
Counterparty_Details_AllAccounts_Shown,,0,,
Counterparty_Details_AllContacts_Contact_Click,,0,,
Counterparty_Details_AllContacts_Shown,,0,,
Counterparty_Details_Comment_Edit,,0,,
Counterparty_Details_Comment_Save,,0,,
Counterparty_Details_Contact_Delete,,1,source,
Counterparty_Details_Contact_Edit,,0,,
Counterparty_Details_Contact_Save,,0,,
Counterparty_Details_Error,,0,,
create.cardInvoice.firstStep.screen.initiated,,3,project,
,,,source,
,,,taxSystem,
create.cardInvoice.firstStep.screen.shown,,1,project,
create.cardInvoice.firstStep.taxSystemField.changed,,2,project,
,,,taxSystem,
create.cardInvoice.firstStep.terminalActivated.howToConnectCashierButton.tapped,,1,project,
create.cardInvoice.firstStep.terminalActivated.screen.shown,,1,project,
create.cardInvoice.firstStep.terminalField.changed,,1,project,
create.cardInvoice.itemsStep.addButton.tapped,,1,project,
create.cardInvoice.itemsStep.deleteItem.success,,1,project,
create.cardInvoice.itemsStep.documentIssuing.start,,1,project,
create.cardInvoice.itemsStep.floatingEdit.apply.qtyChanged,,2,project,
,,,qty,
create.cardInvoice.itemsStep.floatingEdit.screen.shown,,1,project,
create.cardInvoice.itemsStep.fullEdit.screen.shown,,1,project,
create.cardInvoice.itemsStep.screen.shown,,1,project,
create.cardInvoice.productsList.applyButton.tapped,,2,project,
,,,qty,
create.cardInvoice.productsList.create.apply.failure,,1,project,
create.cardInvoice.productsList.create.apply.success,,1,project,
create.cardInvoice.productsList.createButton.tapped,,1,project,
create.cardInvoice.productsList.deleteButton.tapped,,1,project,
create.cardInvoice.productsList.edit.apply.failure,,1,project,
create.cardInvoice.productsList.edit.apply.success,,1,project,
create.cardInvoice.productsList.edit.screen.shown,,1,project,
create.cardInvoice.productsList.screen.shown,,1,project,
create.cardInvoice.successStep.screen.shown,,2,goodsQuantity,
,,,project,
create.cardInvoice.successStep.sendButton.tapped,,1,project,
create.consignmentBill,,0,,
create.consignmentBill.buyerStep.screen.shown,,1,project,
create.consignmentBill.cropLogo.submitButton.tapped,,1,project,
create.consignmentBill.firstStep.numberField.changed,,0,,
create.consignmentBill.firstStep.screen.shown,,1,project,
create.consignmentBill.itemsStep.screen.shown,,1,project,
create.consignmentBill.logoList.plusButton.tapped,,1,project,
create.consignmentBill.pdfStep.screen.shown,,0,,
create.consignmentBill.previewStep.addLogoButton.tapped,,1,project,
create.consignmentBill.previewStep.changeLogoButton.tapped,,1,project,
create.consignmentBill.previewStep.deleteLogoButton.tapped,,1,project,
create.consignmentBill.previewStep.documentIssuing.success,,6,goodsQuantity,
,,,hasLogo,
,,,project,
,,,signersAmount,
,,,signsAmount,
,,,stampsAmount,
create.consignmentBill.previewStep.screen.shown,,1,project,
create.consignmentBill.previewStep.submitButton.tapped,,1,project,
create.consignmentBill.productsList.createButton.tapped,,0,,
create.consignmentBill.productsList.screen.shown,,0,,
create.consignmentBill.sellerStep.screen.shown,,1,project,
create.consignmentBill.shipperConsigneeStep.screen.shown,,1,project,
create.consignmentBill.signerDetail.plusSignButton.tapped,,1,project,
create.consignmentBill.signerDetail.plusStampButton.tapped,,1,project,
create.consignmentBill.signerDetail.saveButton.tapped,,1,project,
create.consignmentBill.signerDetail.signAdded,,2,project,
,,,source,
create.consignmentBill.signerList.createButton.tapped,,1,project,
create.consignmentBill.signerOptions.toggleSign.tapped,,2,option,
,,,project,
create.consignmentBill.signerOptions.toggleStamp.tapped,,2,option,
,,,project,
create.detailedInvoice,,0,,
create.detailedInvoice.buyerStep.screen.shown,,1,project,
create.detailedInvoice.firstStep.numberField.changed,,0,,
create.detailedInvoice.firstStep.screen.shown,,1,project,
create.detailedInvoice.itemsStep.screen.shown,,1,project,
create.detailedInvoice.pdfStep.screen.shown,,1,project,
create.detailedInvoice.productDetail.trackingItemDetail.screen.shown,,2,mode,
,,,project,
create.detailedInvoice.productsList.createButton.tapped,,0,,
create.detailedInvoice.productsList.screen.shown,,0,,
create.detailedInvoice.sellerStep.screen.shown,,1,project,
create.detailedInvoice.shipmentDocumentsStep.addButton.tapped,,1,project,
create.detailedInvoice.shipmentDocumentsStep.addButton.validationError,,0,,
create.detailedInvoice.shipmentDocumentsStep.documentIssuing.start,,1,project,
create.detailedInvoice.shipmentDocumentsStep.documentIssuing.validationError,,2,errorType,
,,,project,
create.detailedInvoice.shipmentDocumentsStep.screen.shown,,1,project,
create.detailedInvoice.shipmentDocumentsStep.shipmentDocument.addButton.tapped,,1,project,
create.detailedInvoice.shipmentDocumentsStep.shipmentDocument.screen.shown,,2,mode,
,,,project,
create.detailedInvoice.shipmentDocumentsStep.submitButton.tapped,,1,project,
create.detailedInvoice.shipperConsigneeStep.screen.shown,,1,project,
create.invoice.cropLogo.submitButton.tapped,,1,project,
create.invoice.editSuccessStep.screen.shown,,0,,
create.invoice.firstStep.checkCounterpartyStatus.shown,,2,project,
,,,status,
create.invoice.firstStep.checkCounterpartyStatus.tapped,,2,project,
,,,status,
create.invoice.firstStep.dueDateField.changed,,0,,
create.invoice.firstStep.numberField.changed,,0,,
create.invoice.firstStep.screen.initial.shown,,1,source,
create.invoice.firstStep.screen.shown,,1,project,
create.invoice.itemsStep.screen.shown,,1,project,
create.invoice.logoList.plusButton.tapped,,1,project,
create.invoice.previewStep.addLogoButton.tapped,,1,project,
create.invoice.previewStep.changeLogoButton.tapped,,1,project,
create.invoice.previewStep.deleteLogoButton.tapped,,1,project,
create.invoice.previewStep.documentIssuing.success,,9,documentHasLogo,
,,,goodsQuantity,
,,,hasLogo,
,,,payer,
,,,payerType,
,,,project,
,,,signersAmount,
,,,signsAmount,
,,,stampsAmount,
create.invoice.previewStep.editSubmitButton.tapped,,0,,
create.invoice.previewStep.screen.shown,,1,project,
create.invoice.previewStep.submitButton.tapped,,1,project,
create.invoice.productsList.createButton.tapped,,0,,
create.invoice.productsList.screen.shown,,0,,
create.invoice.signerDetail.plusSignButton.tapped,,1,project,
create.invoice.signerDetail.plusStampButton.tapped,,1,project,
create.invoice.signerDetail.saveButton.tapped,,1,project,
create.invoice.signerDetail.signAdded,,2,project,
,,,source,
create.invoice.signerList.createButton.tapped,,1,project,
create.invoice.signerOptions.toggleSign.tapped,,2,option,
,,,project,
create.invoice.signerOptions.toggleStamp.tapped,,2,option,
,,,project,
create.providedServicesAct,,0,,
create.providedServicesAct.buyerStep.screen.shown,,1,project,
create.providedServicesAct.cropLogo.submitButton.tapped,,1,project,
create.providedServicesAct.firstStep.numberField.changed,,0,,
create.providedServicesAct.firstStep.screen.initial.shown,,1,source,
create.providedServicesAct.firstStep.screen.shown,,1,project,
create.providedServicesAct.itemsStep.screen.shown,,1,project,
create.providedServicesAct.logoList.plusButton.tapped,,1,project,
create.providedServicesAct.pdfStep.screen.shown,,0,,
create.providedServicesAct.previewStep.addLogoButton.tapped,,1,project,
create.providedServicesAct.previewStep.changeLogoButton.tapped,,1,project,
create.providedServicesAct.previewStep.deleteLogoButton.tapped,,1,project,
create.providedServicesAct.previewStep.documentIssuing.success,,6,goodsQuantity,
,,,hasLogo,
,,,project,
,,,signersAmount,
,,,signsAmount,
,,,stampsAmount,
create.providedServicesAct.previewStep.screen.shown,,1,project,
create.providedServicesAct.previewStep.submitButton.tapped,,1,project,
create.providedServicesAct.productsList.createButton.tapped,,0,,
create.providedServicesAct.productsList.screen.shown,,0,,
create.providedServicesAct.sellerStep.screen.shown,,1,project,
create.providedServicesAct.signerDetail.plusSignButton.tapped,,1,project,
create.providedServicesAct.signerDetail.plusStampButton.tapped,,1,project,
create.providedServicesAct.signerDetail.saveButton.tapped,,1,project,
create.providedServicesAct.signerDetail.signAdded,,2,project,
,,,source,
create.providedServicesAct.signerList.createButton.tapped,,1,project,
create.providedServicesAct.signerOptions.toggleSign.tapped,,2,option,
,,,project,
create.providedServicesAct.signerOptions.toggleStamp.tapped,,2,option,
,,,project,
create.signsStampsOnboarding.screen.shown,,1,project,
Currency_Contract_Check_Click,,1,Action,
Currency_Contract_Close_Shown,,0,,
Currency_Contract_Completion_Date_Shown,,0,,
Currency_Contract_Conclusion_Date_Shown,,0,,
Currency_Contract_Counterparty_Country,,1,ContractCountry,
Currency_Contract_Counterparty_Shown,,0,,
Currency_Contract_Currency_Next,,1,ContractCurrency,
Currency_Contract_Delete,,1,ContractStatus,
Currency_Contract_Details_Change_Btn_Click,,2,ContractStatus,
,,,RegistrationType,
Currency_Contract_Details_Delete_Btn_Click,,2,ContractStatus,
,,,RegistrationType,
Currency_Contract_Details_Shown,,4,ContractStatus,
,,,IsExportWithoutDocs,
,,,RegistrationType,
,,,RemoveBtn,
Currency_Contract_Docs_Next,,0,,
Currency_Contract_Docs_Onboard_Shown,,0,,
Currency_Contract_Edit_Btn_Click,,3,ContractStatus,
