iteration,users,start_in_yellow
1326,11,0
1828,3,0
2261,3,0
2763,1,0
824,47,0
2101,3,0
2864,1,0
61,12344,5
1065,24,0
2362,3,0
1631,5,0
739,65,0
237,1380,0
2522,2,0
498,235,0
1409,5,0
405,382,0
1975,3,0
2728,1,0
2477,3,0
907,34,0
2819,1,0
1724,3,0
154,3119,0
1815,3,0
1158,16,0
656,96,0
1564,5,0
2066,3,0
2568,1,0
2226,3,0
2979,1,0
2317,3,0
2862,1,0
966,29,0
348,571,0
7,79081,345
268,1053,0
1589,5,0
529,195,0
1328,11,0
1067,24,0
2143,3,0
508,220,0
2340,3,0
1227,12,0
2601,1,0
1488,5,0
87,7753,2
1749,3,0
1850,3,0
2010,3,0
247,1267,0
545,180,0
1051,25,0
790,49,0
705,76,0
806,48,0
2284,3,0
1395,6,0
1917,3,0
1602,5,0
1762,3,0
100,6363,1
2806,1,0
2646,1,0
415,365,0
2124,3,0
622,112,0
2375,3,0
873,38,0
2897,1,0
2535,2,0
1144,16,0
860,39,0
2089,3,0
1563,5,0
193,2067,0
2852,1,0
1020,28,0
1338,7,0
17,43356,80
1077,24,0
1579,5,0
519,211,0
294,842,0
1840,3,0
1498,5,0
454,287,0
33,24216,13
2000,3,0
759,55,0
1739,3,0
599,129,0
1237,12,0
278,968,0
2350,3,0
2655,1,0
780,50,0
2887,1,0
2636,1,0
1250,12,0
927,33,0
2545,2,0
1656,5,0
110,5468,1
2294,3,0
2134,3,0
1090,24,0
612,114,0
1907,3,0
361,519,0
1405,5,0
2796,1,0
2385,3,0
1729,3,0
464,272,0
1830,3,0
2360,3,0
565,157,0
1990,3,0
2621,1,0
27,29342,28
2099,3,0
43,18511,8
2115,3,0
2275,3,0
1532,5,0
1271,11,0
986,29,0
2898,1,0
725,70,0
1553,5,0
1292,11,0
304,779,0
2536,2,0
2376,3,0
1111,19,0
1031,28,0
2797,1,0
1372,6,0
2818,1,0
826,47,0
1814,3,0
1569,5,0
203,1867,0
2637,1,0
371,487,0
2602,1,0
893,36,0
2853,1,0
120,4747,0
2395,3,0
1897,3,0
738,66,0
2080,3,0
1439,5,0
578,147,0
1646,5,0
1124,19,0
1217,13,0
1041,28,0
976,29,0
1478,5,0
213,1705,0
2627,1,0
2386,3,0
314,731,0
2285,3,0
1318,11,0
1783,3,0
715,74,0
2611,1,0
1057,25,0
2125,3,0
2044,3,0
2109,3,0
539,185,0
2787,1,0
555,167,0
2872,1,0
53,14607,6
1543,5,0
1623,5,0
2546,2,0
2306,3,0
1302,11,0
474,264,0
1804,3,0
2888,1,0
816,47,0
1884,3,0
632,108,0
1951,3,0
2341,3,0
381,451,0
1385,6,0
1636,5,0
1134,16,0
883,37,0
2592,1,0
66,11241,2
2907,1,0
2090,3,0
782,50,0
63,11909,5
681,86,0
260,1132,0
223,1562,0
1043,28,0
1922,3,0
2444,3,0
420,354,0
942,31,0
1464,5,0
2183,3,0
2966,1,0
2705,1,0
1725,3,0
1565,5,0
521,208,0
1304,11,0
1203,14,0
2148,3,0
327,664,0
1056,25,0
598,130,0
849,43,0
2463,3,0
2921,1,0
2670,1,0
1578,5,0
76,9313,2
1829,3,0
1371,6,0
1053,25,0
9,68042,203
2454,3,0
2956,1,0
1715,4,0
1213,13,0
735,67,0
169,2653,0
2695,1,0
1816,3,0
270,1038,0
1555,5,0
575,150,0
932,33,0
1410,5,0
430,336,0
1976,3,0
2193,3,0
772,50,0
1317,11,0
839,43,0
1066,24,0
1648,5,0
86,7862,3
1146,16,0
1568,5,0
337,618,0
2158,3,0
588,144,0
2409,3,0
2660,1,0
1883,3,0
1397,6,0
2975,1,0
1899,3,0
541,183,0
1247,12,0
701,77,0
19,39727,55
2203,3,0
2661,1,0
179,2387,1
2922,1,0
1087,24,0
2400,3,0
280,957,0
1966,3,0
898,35,0
1444,5,0
440,314,0
1806,3,0
1284,11,0
1545,5,0
1705,4,0
2941,1,0
1622,5,0
1638,5,0
1100,22,0
1873,3,0
1351,6,0
32,24993,13
1180,15,0
2168,3,0
634,108,0
554,170,0
112,5302,1
805,48,0
2626,1,0
2419,3,0
363,509,0
885,36,0
347,575,0
1889,3,0
1599,5,0
531,192,0
1956,3,0
2715,1,0
952,31,0
1193,15,0
2410,3,0
2149,3,0
1294,11,0
1454,5,0
1796,3,0
792,49,0
189,2128,0
1759,3,0
1033,28,0
386,438,0
29,27504,26
2912,1,0
691,82,0
2114,3,0
1612,5,0
293,848,0
2696,1,0
2194,3,0
2931,1,0
875,38,0
544,181,0
859,39,0
1377,6,0
1126,18,0
2680,1,0
1943,3,0
42,18983,10
1692,5,0
122,4629,0
373,478,0
1863,3,0
1361,6,0
1110,19,0
2445,3,0
624,110,0
2429,3,0
918,33,0
2830,1,0
2569,1,0
1898,3,0
2729,1,0
2308,3,0
1637,5,0
2468,3,0
657,96,0
2111,3,0
1376,6,0
135,3906,0
1179,15,0
2271,3,0
396,405,0
2865,1,0
1283,11,0
383,449,0
2503,2,0
2092,3,0
1272,11,0
68,10810,2
1112,19,0
750,61,0
1805,3,0
2252,3,0
1885,3,0
1730,3,0
2774,1,0
2327,3,0
2343,3,0
1554,5,0
52,14950,7
228,1489,0
1363,6,0
590,138,0
1523,5,0
825,47,0
841,43,0
2614,1,0
1570,5,0
574,151,0
1032,28,0
303,787,0
2045,3,0
1001,28,0
145,3469,0
2623,1,0
406,382,0
2980,1,0
2217,3,0
1386,6,0
2820,1,0
1888,3,0
647,99,0
2478,3,0
908,34,0
2783,1,0
1125,18,0
1691,5,0
2318,3,0
2057,3,0
1875,3,0
740,65,0
2353,3,0
78,9034,2
329,651,0
564,158,0
1058,25,0
1218,13,0
1533,5,0
2035,3,0
1795,3,0
2855,1,0
1784,3,0
895,35,0
489,245,0
1544,5,0
62,12117,4
2513,2,0
238,1369,0
2604,1,0
2102,3,0
1373,6,0
2262,3,0
580,146,0
2764,1,0
1624,5,0
815,47,0
313,732,0
2749,1,0
352,556,0
1159,16,0
2488,3,0
2227,3,0
613,114,0
2589,1,0
1681,5,0
1420,5,0
1942,3,0
2946,1,0
2067,3,0
155,3087,0
874,38,0
2328,3,0
2821,1,0
499,233,0
1021,28,0
1407,5,0
2025,3,0
2363,3,0
706,75,0
339,609,0
2570,1,0
861,39,0
1865,3,0
2730,1,0
1774,3,0
2208,3,0
1076,24,0
88,7645,1
1092,24,0
2048,3,0
2981,1,0
546,179,0
1614,5,0
1327,11,0
1252,12,0
2523,2,0
248,1259,1
2579,1,0
2434,3,0
2739,1,0
1932,3,0
2237,3,0
2077,3,0
1671,5,0
667,90,0
101,6265,1
864,39,0
362,516,0
2840,1,0
1430,5,0
1169,16,0
1919,3,0
2058,3,0
1764,3,0
1262,11,0
194,2044,0
1011,28,0
2218,3,0
34,23447,18
600,127,0
2720,1,0
509,219,0
1102,20,0
760,54,0
2309,3,0
2875,1,0
2560,1,0
1604,5,0
851,42,0
2469,3,0
1353,6,0
1513,5,0
349,567,0
910,34,0
2396,3,0
191,2098,0
111,5375,0
1091,24,0
2135,3,0
1874,3,0
2412,3,0
649,99,0
388,428,0
372,483,0
2854,1,0
1890,3,0
1432,5,0
2593,1,0
2673,1,0
2934,1,0
2151,3,0
1171,15,0
1693,5,0
1352,6,0
633,108,0
894,36,0
1613,5,0
2638,1,0
1184,15,0
2798,1,0
2431,3,0
2889,1,0
2276,3,0
1797,3,0
2116,3,0
726,70,0
1499,5,0
977,29,0
44,18062,8
295,830,0
817,47,0
1546,5,0
204,1856,0
1024,28,0
566,156,0
455,284,0
1339,7,0
1706,4,0
1957,3,0
2422,3,0
2663,1,0
1944,3,0
1378,6,0
1181,15,0
884,37,0
2081,3,0
623,112,0
121,4680,0
1101,22,0
398,402,0
382,450,0
2908,1,0
2924,1,0
1362,6,0
2161,3,0
1683,5,0
137,3818,0
1864,3,0
2342,3,0
1603,5,0
2647,1,0
900,35,0
703,77,0
2788,1,0
2011,3,0
465,272,0
54,14269,8
1285,11,0
2628,1,0
1851,3,0
1034,28,0
716,74,0
1696,5,0
2286,3,0
305,770,0
214,1694,0
967,29,0
2537,2,0
2943,1,0
2126,3,0
807,48,0
2377,3,0
1194,15,0
1536,5,0
1445,5,0
556,165,0
589,140,0
866,38,0
1135,16,0
669,89,0
147,3385,0
2890,1,0
2091,3,0
1215,13,0
850,42,0
2613,1,0
2352,3,0
67,11026,1
2789,1,0
1673,5,0
1657,5,0
1934,3,0
408,379,0
2171,3,0
1918,3,0
2528,2,0
2368,3,0
1412,5,0
1396,6,0
2629,1,0
328,660,0
682,84,0
2001,3,0
475,261,0
315,723,0
2754,1,0
2387,3,0
773,50,0
2909,1,0
2296,3,0
1479,5,0
522,207,0
1590,5,0
1068,24,0
1228,12,0
2594,1,0
1841,3,0
1319,11,0
933,33,0
1750,3,0
2547,2,0
160,2927,1
2136,3,0
920,33,0
338,612,0
2277,3,0
659,95,0
1406,5,0
2378,3,0
1647,5,0
1908,3,0
2880,1,0
579,147,0
2538,2,0
1145,16,0
2117,3,0
1924,3,0
1727,3,0
840,43,0
77,9182,2
2683,1,0
1161,16,0
354,553,0
157,3020,0
1422,5,0
2557,1,0
1991,3,0
1831,3,0
1740,3,0
1329,10,0
2899,1,0
2082,3,0
672,89,0
170,2629,0
421,352,0
987,29,0
2242,3,0
1078,24,0
2808,1,0
1580,5,0
2397,3,0
261,1122,0
2648,1,0
1489,5,0
827,47,0
10,63629,185
512,217,0
1238,12,0
1866,3,0
103,6084,1
2420,3,0
1147,16,0
886,36,0
2958,1,0
2026,3,0
1344,6,0
2697,1,0
2681,1,0
1504,5,0
2436,3,0
2159,3,0
2942,1,0
364,505,0
2239,3,0
1765,3,0
1605,5,0
625,110,0
793,49,0
953,31,0
431,336,0
2455,3,0
1933,3,0
702,77,0
2220,3,0
1411,5,0
2662,1,0
1160,16,0
2913,1,0
1698,5,0
180,2354,0
542,182,0
2742,1,0
20,38091,45
2471,3,0
1682,5,0
2204,3,0
271,1030,0
2932,1,0
1514,5,0
2948,1,0
374,475,0
2430,3,0
1253,11,0
113,5217,1
2016,3,0
615,113,0
2671,1,0
1354,6,0
876,38,0
1093,24,0
1856,3,0
2169,3,0
2446,3,0
